,,align combination 1,align combination 2,align combination 3,align combination 4
Ch1,count,1800000.0,1500000.0,1800000.0,1500000.0
Ch1,mean,0.07854908008830813,0.07962892542237358,0.07843738599863494,0.07962109049840423
Ch1,std,21.785415165580783,21.798369864450493,21.82319322209189,21.986628303927883
Ch1,min,-33.39228962174265,-33.2692935751557,-33.099317954933845,-33.907382395233746
Ch1,25%,-22.04338051935731,-22.063212761025373,-22.087106750945587,-22.215850368481576
Ch1,50%,0.12312749475045,0.12709722928814998,0.11453078485754994,0.08035426234754994
Ch1,75%,22.20983661500145,22.215771499583475,22.252770871404635,22.397643178602074
Ch1,max,33.0832944238032,33.13123356903165,33.25164008679765,33.6444729234174
Ch2,count,1800000.0,1500000.0,1800000.0,1500000.0
Ch2,mean,0.1335834754411998,0.13393322753850406,0.1309676182176443,0.13403267418214995
Ch2,std,21.5823702601675,21.60019855753319,21.62025536716404,21.79805408308102
Ch2,min,-32.81772969908415,-32.9284747768329,-32.97415301364915,-33.45527958169185
Ch2,25%,-21.885074209850174,-21.8977392404034,-21.928054473110585,-22.092811601241486
Ch2,50%,0.07969044912187495,0.0828912119031,0.065638640443725,0.09999261797445
Ch2,75%,22.158433810664775,22.179041596497488,22.189560735781573,22.3338842468964
Ch2,max,33.058187824574695,33.3291024895482,33.2063036152065,33.76644367432905
Ch3,count,1800000.0,1500000.0,1800000.0,1500000.0
Ch3,mean,0.04269003430335119,0.041271576881836726,0.04366658145596135,0.040441934822390606
Ch3,std,21.625283777357165,21.638536637046204,21.660250129835497,21.843845028817377
Ch3,min,-32.9864434169364,-33.1224396868935,-33.16785502738275,-33.672090182568745
Ch3,25%,-22.02374216373041,-22.036262601303786,-22.064077032700386,-22.22212373208461
Ch3,50%,0.01988153472937495,0.01500480786352495,0.034590584225025,0.0448435409780249
Ch3,75%,22.071303395488798,22.078960251012674,22.107441781839036,22.278363828838085
Ch3,max,33.2953466011614,32.9729305457286,33.388674797246395,33.62408531325855
Ch4,count,1800000.0,1500000.0,1800000.0,1500000.0
Ch4,mean,-0.01964710396629828,-0.014079444651180025,-0.020897915535220874,-0.020240777865504222
Ch4,std,127.06966941350052,127.25145539955187,127.24403982881682,126.97938388087519
Ch4,min,-273.69706409574,-274.183838437074,-274.236044912268,-273.835503612828
Ch4,25%,-119.928189834342,-120.1303319452305,-120.14476893138749,-119.809291288416
Ch4,50%,0.017596595921999948,-0.010013532486,0.01161764205899995,0.0576993352469999
Ch4,75%,120.035665175733,120.2391683492895,120.230248527876,119.9444496722865
Ch4,max,313.888369712922,313.90363305855595,313.904896902462,314.495014787802
Ch5,count,1800000.0,1500000.0,1800000.0,1500000.0
Ch5,mean,-0.016319527185773872,-0.022025137050815515,-0.022916009115934638,0.000647220686263352
Ch5,std,127.38907341605282,127.57667170457653,127.56916785345899,127.302650997787
Ch5,min,-275.607996081612,-275.895958054656,-276.082715296458,-275.794656104652
Ch5,25%,-119.577716197332,-119.789750317254,-119.7980382167145,-119.4676402540575
Ch5,50%,0.062560273347,0.038984723562,0.024985221834,0.10105890309899995
Ch5,75%,119.771375971236,119.949140477553,119.9502827980065,119.659428566793
Ch5,max,318.876178297332,316.363559393442,317.812410603528,316.994314721298
Ch6,count,1800000.0,1500000.0,1800000.0,1500000.0
Ch6,mean,0.21531616051461194,0.21301158211352603,0.22350805590753278,0.19341085602277513
Ch6,std,127.42510115881457,127.6106567930825,127.59854221354813,127.3468656708623
Ch6,min,-274.53217326132,-275.663605213476,-274.944769687248,-275.223787534188
Ch6,25%,-120.099878168034,-120.28840965224249,-120.303648693186,-120.0033642420585
Ch6,50%,0.2309917785119999,0.199492899624,0.205569072249,0.25378957820099995
Ch6,75%,120.610373887296,120.8223837025275,120.8218003899555,120.494343294849
Ch6,max,315.983628471546,315.72230443929,315.416843089086,315.856757987136
