,,align parallel 1,align parallel 2,align parallel 3,align parallel 4
Ch1,count,1800000.0,1800000.0,1800000.0,1800000.0
Ch1,mean,0.07855113708410523,0.07874797677280436,0.07805015898072516,0.07871034150588688
Ch1,std,21.914204409092378,21.863167626547476,21.889671360923824,21.973256038305347
Ch1,min,-33.66998701195275,-33.607496555024845,-33.2919289489104,-34.1932690060299
Ch1,25%,-22.15539078567975,-22.122765351499048,-22.139281813242825,-22.210973641615723
Ch1,50%,0.0568053238565249,0.08107065483862495,0.0601309623930749,0.05312477527852495
Ch1,75%,22.324318106797687,22.286579339056836,22.307466452236987,22.37708797203476
Ch1,max,33.5975722186806,33.507451357785,33.52060931895135,33.67245823742655
Ch2,count,1800000.0,1800000.0,1800000.0,1800000.0
Ch2,mean,0.1364197024437393,0.13423860189308198,0.13576279697241253,0.1356793304630165
Ch2,std,21.727530118061452,21.67456163113543,21.7043823573001,21.788124310487483
Ch2,min,-33.2309107114137,-33.2247589373619,-33.2619850572651,-33.221407009192646
Ch2,25%,-22.0364170528959,-21.97838268871065,-22.009844806644374,-22.083376909306274
Ch2,50%,0.135371891180475,0.10631527463879994,0.1046853174114,0.127642739166675
Ch2,75%,22.274275790953237,22.240063120198275,22.2558303274101,22.3334110335078
Ch2,max,33.7383269121564,33.51295903583565,33.43085651291355,33.802828525985845
Ch3,count,1800000.0,1800000.0,1800000.0,1800000.0
Ch3,mean,0.04498377131747395,0.04767758412268412,0.045907059946299206,0.043185392822477416
Ch3,std,21.782676103967304,21.722526162959557,21.748301805948856,21.833741672325147
Ch3,min,-33.4667550063654,-33.4907048617551,-33.3432988912062,-33.4916249988996
Ch3,25%,-22.151759530163062,-22.109140749352274,-22.12139829059865,-22.203241203397837
Ch3,50%,0.0706665326976,0.044278313874974995,0.0621092572537499,0.05670673773389995
Ch3,75%,22.237601753336737,22.17653750898281,22.1974673428161,22.2788600456553
Ch3,max,33.8108600087757,33.13441461458835,33.27782456096685,33.4515333090321
Ch4,count,1800000.0,1800000.0,1800000.0,1800000.0
Ch4,mean,-0.02117991572971644,-0.010032485175631057,-0.010456979233652651,-0.015901007004635412
Ch4,std,127.06983430060173,127.1198311904649,127.08290204600753,126.99158706274176
Ch4,min,-275.698020655224,-276.081548671314,-275.516902101618,-274.796997169008
Ch4,25%,-119.774195315334,-119.80428452217299,-119.84689064461949,-119.706531056982
Ch4,50%,0.08292760398599994,0.07636533755099995,0.09162868318499989,0.08739966703799995
Ch4,75%,119.92753360769849,119.9398317810915,119.979715778202,119.8505363481945
Ch4,max,315.846355579602,316.298228385378,314.472168378732,314.990344380192
Ch5,count,1800000.0,1800000.0,1800000.0,1800000.0
Ch5,mean,0.00644742504405398,-0.019452294904596015,-0.01594233421426789,-0.004818770704222293
Ch5,std,127.39244201501295,127.443297267697,127.40190878546953,127.31033431328127
Ch5,min,-279.521148470874,-277.713754466532,-279.46796980806,-276.588544515144
Ch5,25%,-119.462025870552,-119.4989446954215,-119.530079003952,-119.4063438246165
Ch5,50%,0.118947155307,0.0917745113279999,0.05026209995399995,0.09785068395299995
Ch5,75%,119.6491962920925,119.6725287949725,119.6805979522185,119.585299260768
Ch5,max,318.930620804052,318.830193822906,318.492164187432,317.253111065742
Ch6,count,1800000.0,1800000.0,1800000.0,1800000.0
Ch6,mean,0.18448061188302003,0.19717462026920207,0.1959551894583715,0.19143723861060338
Ch6,std,127.44310574961752,127.48799729361771,127.4491310371351,127.359159370967
Ch6,min,-277.565787510768,-277.345392577314,-276.742733471676,-276.177795245694
Ch6,25%,-119.978354715534,-120.0044336484405,-120.0604802647335,-119.907239191131
Ch6,50%,0.29481589576499995,0.3192178050269999,0.26822656435799996,0.28839945747299994
Ch6,75%,120.453851680476,120.500079201807,120.5417617460145,120.4196549809425
Ch6,max,317.965919028726,317.338858013826,317.704303340184,318.275171910648
