,,align angular 5,align combination 4,cavitation discharge 5,cavitation suction 4,coupling 3,unbalance motor 6
Ch1,count,1800000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch1,mean,0.07977093250283249,0.07962109049840423,0.07919795632752975,0.08031631218487263,0.07955130471221815,0.07905796192146847
Ch1,std,21.94616328472142,21.986628303927883,14.666740342892695,14.410249785531077,21.92176349058134,21.77128844553918
Ch1,min,-33.8652795484647,-33.907382395233746,-21.85282340293545,-21.02506802774325,-33.695711417549695,-33.375608849794496
Ch1,25%,-22.190033949170175,-22.215850368481576,-15.0932198982951,-14.775697000748586,-22.157829149112676,-22.034244871994062
Ch1,50%,0.05154082490835,0.08035426234754994,-0.06820845204015,-0.07452453629632494,0.07284199980352496,0.07474799817427494
Ch1,75%,22.355974110772575,22.397643178602074,15.198753056361076,14.888193625275974,22.336500065350048,22.1926037607666
Ch1,max,33.68731187990205,33.6444729234174,21.93119279801415,21.2776982531739,33.638439452712745,33.24969465397785
Ch2,count,1800000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch2,mean,0.13637402470350507,0.13403267418214995,0.1333656184632832,0.135061624151448,0.13507529880029218,0.1348349601173662
Ch2,std,21.76707273680488,21.79805408308102,14.652664436563821,14.4009469984482,21.730352399001088,21.580754919175508
Ch2,min,-33.41037688904025,-33.45527958169185,-21.96684153995535,-21.18611831766345,-33.2907459154389,-32.7449468509542
Ch2,25%,-22.072792045940435,-22.092811601241486,-15.011961929823487,-14.694356877174787,-22.028940938596836,-21.886894766914647
Ch2,50%,0.12647285051152501,0.09999261797445,-0.0268285701703499,-0.01846846697174995,0.0994602529122749,0.1092662859093749
Ch2,75%,22.318731559848935,22.3338842468964,15.2591074806321,14.9391363610404,22.280729895781086,22.151739812938537
Ch2,max,33.9127849147536,33.76644367432905,21.95766645814305,21.364782661492647,33.88711308842205,33.45759306936945
Ch3,count,1800000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch3,mean,0.04618915357652149,0.040441934822390606,0.0416609710344993,0.0450985794652591,0.04405062728810297,0.04651500382184481
Ch3,std,21.819172441314326,21.843845028817377,14.522228021917606,14.272216745579302,21.77719531126783,21.618162877703035
Ch3,min,-33.42333767796135,-33.672090182568745,-21.613732338345297,-20.94634372262309,-33.281097620238,-33.13675439189865
Ch3,25%,-22.186626155531435,-22.22212373208461,-15.059549451214576,-14.7398346555417,-22.154881424046188,-22.00332826393886
Ch3,50%,0.0734269441311,0.0448435409780249,-0.1193417876416499,-0.09967056997387494,0.0579357780626249,0.045901698694199994
Ch3,75%,22.27143322441755,22.278363828838085,15.099627996265722,14.791336046001,22.212258547413935,22.075003661291323
Ch3,max,33.6622710047553,33.62408531325855,21.84054614446455,21.0973513728519,33.290246412417595,33.06963695961555
Ch4,count,1800000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch4,mean,-0.01000545333682569,-0.020240777865504222,-0.012974575003615318,0.010186747348692909,-0.009841389168501817,0.0001236384790735974
Ch4,std,126.93127277872424,126.97938388087519,127.44488906813847,127.27180731383045,127.04610804846007,127.21250656465092
Ch4,min,-277.408487553852,-273.835503612828,-279.778194877602,-280.186027584192,-275.970913720158,-275.228648472288
Ch4,25%,-119.528134628712,-119.809291288416,-119.8726050071685,-119.709107354175,-119.74046040492,-120.05885185047
Ch4,50%,0.14898775276499998,0.0576993352469999,-0.23906093575799994,-0.1978401806699999,0.10606566934199996,0.00607617262499995
Ch4,75%,119.680865303814,119.9444496722865,120.103183605942,120.016464470238,119.852699465649,120.19714553941499
Ch4,max,316.327102357692,314.495014787802,320.12281448245795,320.010040718538,315.932394183972,314.792018105712
Ch5,count,1800000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch5,mean,-0.0006365191041924239,0.000647220686263352,-0.008751309929700198,-0.014726509009674123,-0.018497729654292007,-0.022882872716625736
Ch5,std,127.26209993214007,127.302650997787,127.85044256208859,127.67558970849622,127.36576139925866,127.52416958688109
Ch5,min,-279.278004347112,-275.794656104652,-280.457948461506,-282.463182646518,-278.783160848532,-276.224363032692
Ch5,25%,-119.220534465744,-119.4676402540575,-119.58588257334,-119.478358622568,-119.44797775944299,-119.7818512928415
Ch5,50%,0.158272144536,0.10105890309899995,-0.15457783158,-0.152925112626,0.108690575916,-0.00962465743799995
Ch5,75%,119.386729939383,119.659428566793,119.8273010640765,119.698753556022,119.5754072517345,119.8771742889825
Ch5,max,320.310155036832,316.994314721298,324.613251880476,322.88110519792195,317.892129988368,318.024250285926
Ch6,count,1800000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Ch6,mean,0.17752043299791487,0.19341085602277513,0.18504429848225384,0.1688260356876357,0.1949504822705035,0.19295501053432138
Ch6,std,127.3084795612037,127.3468656708623,127.81130418635941,127.63967780082682,127.41510065498923,127.57509069829786
Ch6,min,-278.494129469106,-275.223787534188,-281.244351027324,-280.649858297694,-276.57085070046,-275.831793671736
Ch6,25%,-119.7623589310605,-120.0033642420585,-120.04281075474,-119.923620552528,-119.94838703214751,-120.260191906572
Ch6,50%,0.345952964577,0.25378957820099995,-0.08249011955699995,-0.104461559769,0.27430273698299995,0.22146433983599995
Ch6,75%,120.21537405729,120.494343294849,120.68399279482051,120.528029595882,120.4306407010485,120.7320188632485
Ch6,max,318.179605867602,315.856757987136,323.040835623888,322.451106613596,318.030472286694,316.58103776403595
